143-AH 	 Q0 	 IZV950112-00007      	 0       	 51.9465 	 BM25
143-AH 	 Q0 	 IZV950811-00002      	 37      	 17.6458 	 BM25
143-AH 	 Q0 	 IZV950422-00012      	 38      	 17.5884 	 BM25
143-AH 	 Q0 	 IZV950420-00021      	 39      	 17.4128 	 BM25
143-AH 	 Q0 	 IZV950927-00012      	 40      	 17.3634 	 BM25
143-AH 	 Q0 	 IZV950111-00040      	 41      	 17.3117 	 BM25
143-AH 	 Q0 	 IZV950923-00020      	 42      	 17.2835 	 BM25
143-AH 	 Q0 	 IZV950117-00006      	 43      	 17.2339 	 BM25
143-AH 	 Q0 	 IZV950314-00015      	 44      	 17.1418 	 BM25
143-AH 	 Q0 	 IZV950811-00023      	 45      	 17.0847 	 BM25
143-AH 	 Q0 	 IZV950110-00036      	 46      	 17.0205 	 BM25
143-AH 	 Q0 	 IZV950621-00025      	 47      	 16.9621 	 BM25
143-AH 	 Q0 	 IZV950714-00024      	 48      	 16.8102 	 BM25
143-AH 	 Q0 	 IZV950831-00015      	 49      	 16.7864 	 BM25
143-AH 	 Q0 	 IZV950329-00038      	 50      	 16.6953 	 BM25
143-AH 	 Q0 	 IZV950428-00019      	 51      	 16.6234 	 BM25
143-AH 	 Q0 	 IZV950114-00027      	 52      	 16.5865 	 BM25
143-AH 	 Q0 	 IZV950512-00018      	 53      	 16.5751 	 BM25
143-AH 	 Q0 	 IZV950804-00004      	 54      	 16.5540 	 BM25
143-AH 	 Q0 	 IZV950307-00002      	 55      	 16.5364 	 BM25
143-AH 	 Q0 	 IZV950826-00010      	 56      	 16.5253 	 BM25
143-AH 	 Q0 	 IZV950422-00039      	 57      	 16.3911 	 BM25
143-AH 	 Q0 	 IZV950628-00083      	 58      	 16.3911 	 BM25
143-AH 	 Q0 	 IZV950906-00009      	 59      	 16.3810 	 BM25
143-AH 	 Q0 	 IZV950324-00020      	 60      	 16.3738 	 BM25
143-AH 	 Q0 	 IZV950413-00021      	 61      	 16.3738 	 BM25
143-AH 	 Q0 	 IZV950520-00007      	 62      	 16.2936 	 BM25
143-AH 	 Q0 	 IZV950411-00011      	 63      	 16.2230 	 BM25
143-AH 	 Q0 	 IZV950111-00059      	 64      	 16.1915 	 BM25
143-AH 	 Q0 	 IZV950816-00042      	 65      	 16.1915 	 BM25
143-AH 	 Q0 	 IZV950727-00031      	 66      	 16.0860 	 BM25
143-AH 	 Q0 	 IZV951214-00020      	 67      	 16.0799 	 BM25
143-AH 	 Q0 	 IZV950311-00015      	 68      	 16.0345 	 BM25
143-AH 	 Q0 	 IZV951130-00007      	 69      	 16.0027 	 BM25
143-AH 	 Q0 	 IZV950816-00043      	 70      	 15.8066 	 BM25
143-AH 	 Q0 	 IZV950602-00006      	 71      	 15.7752 	 BM25
143-AH 	 Q0 	 IZV950121-00022      	 72      	 15.7309 	 BM25
143-AH 	 Q0 	 IZV951004-00018      	 73      	 15.6391 	 BM25
143-AH 	 Q0 	 IZV950504-00019      	 74      	 15.5706 	 BM25
143-AH 	 Q0 	 IZV951205-00022      	 75      	 15.5631 	 BM25
143-AH 	 Q0 	 IZV950421-00035      	 76      	 15.5202 	 BM25
143-AH 	 Q0 	 IZV951025-00025      	 77      	 15.4397 	 BM25
143-AH 	 Q0 	 IZV950714-00005      	 78      	 15.4206 	 BM25
143-AH 	 Q0 	 IZV951202-00023      	 79      	 15.4034 	 BM25
143-AH 	 Q0 	 IZV950718-00013      	 80      	 15.3378 	 BM25
143-AH 	 Q0 	 IZV951101-00029      	 81      	 15.2943 	 BM25
143-AH 	 Q0 	 IZV951105-00032      	 82      	 15.2568 	 BM25
143-AH 	 Q0 	 IZV950209-00038      	 83      	 15.1432 	 BM25
143-AH 	 Q0 	 IZV950706-00020      	 84      	 15.1329 	 BM25
143-AH 	 Q0 	 IZV950317-00020      	 85      	 15.0840 	 BM25
143-AH 	 Q0 	 IZV950627-00016      	 86      	 15.0097 	 BM25
143-AH 	 Q0 	 IZV950207-00021      	 87      	 15.0010 	 BM25
143-AH 	 Q0 	 IZV950707-00042      	 88      	 15.0010 	 BM25
143-AH 	 Q0 	 IZV950429-00013      	 89      	 14.9933 	 BM25
143-AH 	 Q0 	 IZV950601-00001      	 90      	 14.9922 	 BM25
143-AH 	 Q0 	 IZV950909-00020      	 91      	 14.9618 	 BM25
143-AH 	 Q0 	 IZV950624-00011      	 92      	 14.9496 	 BM25
143-AH 	 Q0 	 IZV951221-00024      	 93      	 14.9226 	 BM25
143-AH 	 Q0 	 IZV950207-00019      	 94      	 14.8776 	 BM25
143-AH 	 Q0 	 IZV950314-00037      	 95      	 14.8061 	 BM25
143-AH 	 Q0 	 IZV951014-00034      	 96      	 14.6610 	 BM25
143-AH 	 Q0 	 IZV950616-00018      	 97      	 14.5912 	 BM25
143-AH 	 Q0 	 IZV950905-00017      	 98      	 14.5884 	 BM25
143-AH 	 Q0 	 IZV950111-00023      	 99      	 14.5353 	 BM25
143-AH 	 Q0 	 IZV950805-00015      	 100     	 14.5214 	 BM25
143-AH 	 Q0 	 IZV950711-00016      	 101     	 14.5210 	 BM25
143-AH 	 Q0 	 IZV950210-00016      	 102     	 14.4854 	 BM25
143-AH 	 Q0 	 IZV950425-00029      	 103     	 14.4586 	 BM25
143-AH 	 Q0 	 IZV950222-00023      	 104     	 14.3168 	 BM25
143-AH 	 Q0 	 IZV950805-00019      	 105     	 14.3024 	 BM25
143-AH 	 Q0 	 IZV950923-00026      	 106     	 14.3024 	 BM25
143-AH 	 Q0 	 IZV950929-00024      	 107     	 14.3024 	 BM25
143-AH 	 Q0 	 IZV951006-00019      	 108     	 14.3024 	 BM25
143-AH 	 Q0 	 IZV950321-00020      	 109     	 14.2560 	 BM25
143-AH 	 Q0 	 IZV950512-00017      	 110     	 14.2560 	 BM25
143-AH 	 Q0 	 IZV950727-00054      	 111     	 14.0895 	 BM25
143-AH 	 Q0 	 IZV951210-00048      	 112     	 14.0895 	 BM25
143-AH 	 Q0 	 IZV950526-00027      	 113     	 14.0558 	 BM25
143-AH 	 Q0 	 IZV950126-00039      	 114     	 13.9335 	 BM25
143-AH 	 Q0 	 IZV950815-00020      	 115     	 13.9208 	 BM25
143-AH 	 Q0 	 IZV950126-00027      	 116     	 13.9003 	 BM25
143-AH 	 Q0 	 IZV950113-00027      	 117     	 13.8988 	 BM25
143-AH 	 Q0 	 IZV950621-00003      	 118     	 13.8861 	 BM25
143-AH 	 Q0 	 IZV950817-00016      	 119     	 13.8861 	 BM25
143-AH 	 Q0 	 IZV951124-00041      	 120     	 13.8857 	 BM25
143-AH 	 Q0 	 IZV950622-00024      	 121     	 13.8745 	 BM25
143-AH 	 Q0 	 IZV950204-00024      	 122     	 13.8410 	 BM25
143-AH 	 Q0 	 IZV951005-00032      	 123     	 13.8289 	 BM25
143-AH 	 Q0 	 IZV950117-00008      	 124     	 13.8123 	 BM25
143-AH 	 Q0 	 IZV950221-00063      	 125     	 13.7384 	 BM25
143-AH 	 Q0 	 IZV950622-00061      	 126     	 13.7384 	 BM25
143-AH 	 Q0 	 IZV950803-00046      	 127     	 13.7384 	 BM25
143-AH 	 Q0 	 IZV950811-00045      	 128     	 13.7384 	 BM25
143-AH 	 Q0 	 IZV950120-00014      	 129     	 13.6416 	 BM25
143-AH 	 Q0 	 IZV951012-00019      	 130     	 13.6237 	 BM25
143-AH 	 Q0 	 IZV950211-00005      	 131     	 13.5924 	 BM25
143-AH 	 Q0 	 IZV950524-00020      	 132     	 13.5731 	 BM25
143-AH 	 Q0 	 IZV950722-00015      	 133     	 13.5036 	 BM25
143-AH 	 Q0 	 IZV951010-00018      	 134     	 13.4902 	 BM25
143-AH 	 Q0 	 IZV950317-00002      	 135     	 13.4610 	 BM25
143-AH 	 Q0 	 IZV950204-00010      	 136     	 13.4477 	 BM25
143-AH 	 Q0 	 IZV950608-00025      	 137     	 13.4138 	 BM25
143-AH 	 Q0 	 IZV950713-00018      	 138     	 13.4000 	 BM25
143-AH 	 Q0 	 IZV951003-00019      	 139     	 13.4000 	 BM25
143-AH 	 Q0 	 IZV951210-00023      	 140     	 13.4000 	 BM25
143-AH 	 Q0 	 IZV951025-00003      	 141     	 13.3936 	 BM25
143-AH 	 Q0 	 IZV950228-00018      	 142     	 13.3329 	 BM25
143-AH 	 Q0 	 IZV950127-00018      	 143     	 13.2743 	 BM25
143-AH 	 Q0 	 IZV950524-00098      	 144     	 13.1932 	 BM25
143-AH 	 Q0 	 IZV950622-00062      	 145     	 13.1932 	 BM25
143-AH 	 Q0 	 IZV950831-00048      	 146     	 13.1932 	 BM25
143-AH 	 Q0 	 IZV950927-00119      	 147     	 13.1932 	 BM25
143-AH 	 Q0 	 IZV950512-00011      	 148     	 13.0877 	 BM25
143-AH 	 Q0 	 IZV950304-00018      	 149     	 12.9292 	 BM25
143-AH 	 Q0 	 IZV950830-00025      	 150     	 12.8206 	 BM25
143-AH 	 Q0 	 IZV950527-00015      	 151     	 12.8156 	 BM25
143-AH 	 Q0 	 IZV950930-00013      	 152     	 12.7567 	 BM25
143-AH 	 Q0 	 IZV950815-00005      	 153     	 12.7119 	 BM25
143-AH 	 Q0 	 IZV950429-00027      	 154     	 12.6719 	 BM25
143-AH 	 Q0 	 IZV951223-00010      	 155     	 12.6345 	 BM25
143-AH 	 Q0 	 IZV950204-00036      	 156     	 12.5921 	 BM25
143-AH 	 Q0 	 IZV951102-00021      	 157     	 12.5885 	 BM25
143-AH 	 Q0 	 IZV950322-00037      	 158     	 12.5748 	 BM25
143-AH 	 Q0 	 IZV950111-00022      	 159     	 12.5571 	 BM25
143-AH 	 Q0 	 IZV950310-00015      	 160     	 12.5132 	 BM25
143-AH 	 Q0 	 IZV950719-00019      	 161     	 12.4917 	 BM25
143-AH 	 Q0 	 IZV950922-00039      	 162     	 12.4917 	 BM25
143-AH 	 Q0 	 IZV951010-00014      	 163     	 12.4668 	 BM25
143-AH 	 Q0 	 IZV950922-00004      	 164     	 12.4480 	 BM25
143-AH 	 Q0 	 IZV950729-00017      	 165     	 12.4448 	 BM25
143-AH 	 Q0 	 IZV950909-00009      	 166     	 12.4183 	 BM25
143-AH 	 Q0 	 IZV951123-00000      	 167     	 12.4183 	 BM25
143-AH 	 Q0 	 IZV950718-00017      	 168     	 12.3731 	 BM25
143-AH 	 Q0 	 IZV950706-00000      	 169     	 12.3623 	 BM25
143-AH 	 Q0 	 IZV950705-00007      	 170     	 12.3199 	 BM25
143-AH 	 Q0 	 IZV950207-00002      	 171     	 12.3006 	 BM25
143-AH 	 Q0 	 IZV950216-00039      	 172     	 12.2998 	 BM25
143-AH 	 Q0 	 IZV950221-00064      	 173     	 12.2951 	 BM25
143-AH 	 Q0 	 IZV951205-00021      	 174     	 12.2736 	 BM25
143-AH 	 Q0 	 IZV950704-00000      	 175     	 12.2379 	 BM25
143-AH 	 Q0 	 IZV950215-00022      	 176     	 12.2373 	 BM25
143-AH 	 Q0 	 IZV950628-00017      	 177     	 12.2128 	 BM25
143-AH 	 Q0 	 IZV950822-00009      	 178     	 12.1711 	 BM25
143-AH 	 Q0 	 IZV950720-00030      	 179     	 12.1399 	 BM25
143-AH 	 Q0 	 IZV950609-00021      	 180     	 12.1338 	 BM25
143-AH 	 Q0 	 IZV950829-00026      	 181     	 12.1078 	 BM25
143-AH 	 Q0 	 IZV950328-00010      	 182     	 12.0522 	 BM25
143-AH 	 Q0 	 IZV950629-00010      	 183     	 12.0402 	 BM25
143-AH 	 Q0 	 IZV950421-00031      	 184     	 12.0377 	 BM25
143-AH 	 Q0 	 IZV950321-00021      	 185     	 12.0095 	 BM25
143-AH 	 Q0 	 IZV950111-00000      	 186     	 11.9940 	 BM25
143-AH 	 Q0 	 IZV950609-00022      	 187     	 11.9842 	 BM25
143-AH 	 Q0 	 IZV950913-00009      	 188     	 11.9842 	 BM25
143-AH 	 Q0 	 IZV950114-00029      	 189     	 11.9536 	 BM25
143-AH 	 Q0 	 IZV950204-00021      	 190     	 11.9535 	 BM25
143-AH 	 Q0 	 IZV950707-00017      	 191     	 11.9016 	 BM25
143-AH 	 Q0 	 IZV951124-00035      	 192     	 11.8945 	 BM25
143-AH 	 Q0 	 IZV950419-00028      	 193     	 11.8572 	 BM25
143-AH 	 Q0 	 IZV950617-00003      	 194     	 11.8528 	 BM25
143-AH 	 Q0 	 IZV951028-00014      	 195     	 11.8389 	 BM25
143-AH 	 Q0 	 IZV950125-00017      	 196     	 11.8135 	 BM25
143-AH 	 Q0 	 IZV950726-00012      	 197     	 11.8128 	 BM25
143-AH 	 Q0 	 IZV951201-00004      	 198     	 11.7955 	 BM25
143-AH 	 Q0 	 IZV951201-00010      	 199     	 11.7918 	 BM25
143-AH 	 Q0 	 IZV950629-00027      	 200     	 11.7898 	 BM25
143-AH 	 Q0 	 IZV950829-00018      	 201     	 11.7842 	 BM25
143-AH 	 Q0 	 IZV950215-00000      	 202     	 11.7543 	 BM25
143-AH 	 Q0 	 IZV950218-00003      	 203     	 11.7543 	 BM25
143-AH 	 Q0 	 IZV951210-00008      	 204     	 11.7543 	 BM25
143-AH 	 Q0 	 IZV951221-00007      	 205     	 11.7456 	 BM25
143-AH 	 Q0 	 IZV950719-00003      	 206     	 11.7234 	 BM25
143-AH 	 Q0 	 IZV950329-00019      	 207     	 11.7224 	 BM25
143-AH 	 Q0 	 IZV950809-00031      	 208     	 11.7127 	 BM25
143-AH 	 Q0 	 IZV950512-00021      	 209     	 11.7094 	 BM25
143-AH 	 Q0 	 IZV950121-00014      	 210     	 11.7058 	 BM25
143-AH 	 Q0 	 IZV950324-00031      	 211     	 11.6656 	 BM25
143-AH 	 Q0 	 IZV951024-00008      	 212     	 11.6434 	 BM25
143-AH 	 Q0 	 IZV950113-00022      	 213     	 11.6223 	 BM25
143-AH 	 Q0 	 IZV950728-00002      	 214     	 11.6223 	 BM25
143-AH 	 Q0 	 IZV951110-00012      	 215     	 11.5843 	 BM25
143-AH 	 Q0 	 IZV950504-00013      	 216     	 11.5803 	 BM25
143-AH 	 Q0 	 IZV950928-00028      	 217     	 11.5466 	 BM25
143-AH 	 Q0 	 IZV950527-00019      	 218     	 11.5311 	 BM25
143-AH 	 Q0 	 IZV950601-00021      	 219     	 11.4917 	 BM25
143-AH 	 Q0 	 IZV950425-00022      	 220     	 11.4880 	 BM25
143-AH 	 Q0 	 IZV951117-00012      	 221     	 11.4545 	 BM25
143-AH 	 Q0 	 IZV950826-00011      	 222     	 11.4381 	 BM25
143-AH 	 Q0 	 IZV950120-00017      	 223     	 11.4381 	 BM25
143-AH 	 Q0 	 IZV950524-00017      	 224     	 11.4381 	 BM25
143-AH 	 Q0 	 IZV950930-00005      	 225     	 11.4360 	 BM25
143-AH 	 Q0 	 IZV951115-00023      	 226     	 11.4131 	 BM25
143-AH 	 Q0 	 IZV950531-00021      	 227     	 11.3931 	 BM25
143-AH 	 Q0 	 IZV950126-00006      	 228     	 11.3835 	 BM25
143-AH 	 Q0 	 IZV950517-00016      	 229     	 11.3706 	 BM25
143-AH 	 Q0 	 IZV950131-00016      	 230     	 11.3618 	 BM25
143-AH 	 Q0 	 IZV950125-00001      	 231     	 11.3497 	 BM25
143-AH 	 Q0 	 IZV950204-00000      	 232     	 11.3497 	 BM25
143-AH 	 Q0 	 IZV950223-00006      	 233     	 11.3497 	 BM25
143-AH 	 Q0 	 IZV950525-00010      	 234     	 11.3497 	 BM25
143-AH 	 Q0 	 IZV950801-00005      	 235     	 11.3497 	 BM25
143-AH 	 Q0 	 IZV950803-00003      	 236     	 11.3497 	 BM25
143-AH 	 Q0 	 IZV951111-00022      	 237     	 11.2978 	 BM25
143-AH 	 Q0 	 IZV950418-00015      	 238     	 11.2839 	 BM25
143-AH 	 Q0 	 IZV950124-00022      	 239     	 11.2780 	 BM25
143-AH 	 Q0 	 IZV951020-00011      	 240     	 11.2702 	 BM25
143-AH 	 Q0 	 IZV950330-00029      	 241     	 11.2649 	 BM25
143-AH 	 Q0 	 IZV950712-00023      	 242     	 11.2649 	 BM25
143-AH 	 Q0 	 IZV950816-00001      	 243     	 11.2602 	 BM25
143-AH 	 Q0 	 IZV950203-00021      	 244     	 11.2228 	 BM25
143-AH 	 Q0 	 IZV950622-00042      	 245     	 11.2228 	 BM25
143-AH 	 Q0 	 IZV950623-00020      	 246     	 11.2228 	 BM25
143-AH 	 Q0 	 IZV950705-00018      	 247     	 11.2228 	 BM25
143-AH 	 Q0 	 IZV950927-00018      	 248     	 11.2228 	 BM25
143-AH 	 Q0 	 IZV951012-00029      	 249     	 11.2228 	 BM25
143-AH 	 Q0 	 IZV950524-00045      	 250     	 11.2222 	 BM25
143-AH 	 Q0 	 IZV950124-00012      	 251     	 11.2022 	 BM25
143-AH 	 Q0 	 IZV950307-00023      	 252     	 11.1918 	 BM25
143-AH 	 Q0 	 IZV950222-00032      	 253     	 11.1734 	 BM25
143-AH 	 Q0 	 IZV950601-00022      	 254     	 11.1287 	 BM25
143-AH 	 Q0 	 IZV950720-00016      	 255     	 11.1123 	 BM25
143-AH 	 Q0 	 IZV951105-00045      	 256     	 11.1019 	 BM25
143-AH 	 Q0 	 IZV950124-00015      	 257     	 11.1012 	 BM25
143-AH 	 Q0 	 IZV950525-00020      	 258     	 11.1012 	 BM25
143-AH 	 Q0 	 IZV950504-00027      	 259     	 11.0973 	 BM25
143-AH 	 Q0 	 IZV950922-00013      	 260     	 11.0973 	 BM25
143-AH 	 Q0 	 IZV950725-00017      	 261     	 11.0945 	 BM25
143-AH 	 Q0 	 IZV950121-00039      	 262     	 11.0759 	 BM25
143-AH 	 Q0 	 IZV950310-00040      	 263     	 11.0736 	 BM25
143-AH 	 Q0 	 IZV950420-00029      	 264     	 11.0736 	 BM25
143-AH 	 Q0 	 IZV950729-00037      	 265     	 11.0736 	 BM25
143-AH 	 Q0 	 IZV951010-00006      	 266     	 11.0712 	 BM25
143-AH 	 Q0 	 IZV950519-00030      	 267     	 11.0424 	 BM25
143-AH 	 Q0 	 IZV950922-00028      	 268     	 11.0334 	 BM25
143-AH 	 Q0 	 IZV951007-00026      	 269     	 11.0334 	 BM25
143-AH 	 Q0 	 IZV950701-00021      	 270     	 11.0192 	 BM25
143-AH 	 Q0 	 IZV950321-00017      	 271     	 11.0030 	 BM25
143-AH 	 Q0 	 IZV950112-00010      	 272     	 10.9992 	 BM25
143-AH 	 Q0 	 IZV950517-00007      	 273     	 10.9661 	 BM25
143-AH 	 Q0 	 IZV950913-00016      	 274     	 10.9619 	 BM25
143-AH 	 Q0 	 IZV950721-00034      	 275     	 10.9523 	 BM25
143-AH 	 Q0 	 IZV950714-00018      	 276     	 10.9407 	 BM25
143-AH 	 Q0 	 IZV951004-00024      	 277     	 10.9376 	 BM25
143-AH 	 Q0 	 IZV950802-00011      	 278     	 10.9376 	 BM25
143-AH 	 Q0 	 IZV951006-00015      	 279     	 10.9362 	 BM25
143-AH 	 Q0 	 IZV950106-00057      	 280     	 10.9359 	 BM25
143-AH 	 Q0 	 IZV950909-00043      	 281     	 10.9359 	 BM25
143-AH 	 Q0 	 IZV951222-00019      	 282     	 10.9341 	 BM25
143-AH 	 Q0 	 IZV950719-00034      	 283     	 10.9240 	 BM25
143-AH 	 Q0 	 IZV950607-00024      	 284     	 10.9151 	 BM25
143-AH 	 Q0 	 IZV951128-00026      	 285     	 10.9066 	 BM25
143-AH 	 Q0 	 IZV950628-00016      	 286     	 10.8836 	 BM25
143-AH 	 Q0 	 IZV950609-00010      	 287     	 10.8530 	 BM25
143-AH 	 Q0 	 IZV950524-00016      	 288     	 10.8509 	 BM25
143-AH 	 Q0 	 IZV950429-00022      	 289     	 10.8220 	 BM25
143-AH 	 Q0 	 IZV950203-00020      	 290     	 10.8013 	 BM25
143-AH 	 Q0 	 IZV950519-00012      	 291     	 10.8013 	 BM25
143-AH 	 Q0 	 IZV950630-00022      	 292     	 10.8013 	 BM25
143-AH 	 Q0 	 IZV951219-00011      	 293     	 10.8013 	 BM25
143-AH 	 Q0 	 IZV950705-00023      	 294     	 10.8006 	 BM25
143-AH 	 Q0 	 IZV951216-00013      	 295     	 10.7976 	 BM25
143-AH 	 Q0 	 IZV951116-00011      	 296     	 10.7940 	 BM25
143-AH 	 Q0 	 IZV950615-00025      	 297     	 10.7820 	 BM25
143-AH 	 Q0 	 IZV951121-00024      	 298     	 10.7810 	 BM25
143-AH 	 Q0 	 IZV950201-00006      	 299     	 10.7780 	 BM25
143-AH 	 Q0 	 IZV950328-00005      	 300     	 10.7780 	 BM25
143-AH 	 Q0 	 IZV950419-00007      	 301     	 10.7780 	 BM25
143-AH 	 Q0 	 IZV950513-00010      	 302     	 10.7780 	 BM25
143-AH 	 Q0 	 IZV950913-00001      	 303     	 10.7780 	 BM25
143-AH 	 Q0 	 IZV951202-00014      	 304     	 10.7780 	 BM25
143-AH 	 Q0 	 IZV950705-00032      	 305     	 10.7540 	 BM25
143-AH 	 Q0 	 IZV950511-00001      	 306     	 10.7535 	 BM25
143-AH 	 Q0 	 IZV950915-00026      	 307     	 10.7499 	 BM25
143-AH 	 Q0 	 IZV951018-00021      	 308     	 10.7443 	 BM25
143-AH 	 Q0 	 IZV950218-00016      	 309     	 10.7186 	 BM25
143-AH 	 Q0 	 IZV950606-00018      	 310     	 10.7186 	 BM25
143-AH 	 Q0 	 IZV950811-00001      	 311     	 10.7186 	 BM25
143-AH 	 Q0 	 IZV950204-00020      	 312     	 10.7148 	 BM25
143-AH 	 Q0 	 IZV950627-00014      	 313     	 10.6848 	 BM25
143-AH 	 Q0 	 IZV950722-00048      	 314     	 10.6634 	 BM25
143-AH 	 Q0 	 IZV951021-00043      	 315     	 10.6634 	 BM25
143-AH 	 Q0 	 IZV951025-00056      	 316     	 10.6634 	 BM25
143-AH 	 Q0 	 IZV950421-00062      	 317     	 10.6511 	 BM25
143-AH 	 Q0 	 IZV950316-00024      	 318     	 10.6482 	 BM25
143-AH 	 Q0 	 IZV950927-00027      	 319     	 10.6443 	 BM25
143-AH 	 Q0 	 IZV950620-00009      	 320     	 10.6372 	 BM25
143-AH 	 Q0 	 IZV950127-00001      	 321     	 10.5814 	 BM25
143-AH 	 Q0 	 IZV951227-00027      	 322     	 10.5800 	 BM25
143-AH 	 Q0 	 IZV950427-00032      	 323     	 10.5798 	 BM25
143-AH 	 Q0 	 IZV951121-00006      	 324     	 10.5609 	 BM25
143-AH 	 Q0 	 IZV950825-00007      	 325     	 10.5604 	 BM25
143-AH 	 Q0 	 IZV950701-00008      	 326     	 10.5391 	 BM25
143-AH 	 Q0 	 IZV950518-00007      	 327     	 10.5275 	 BM25
143-AH 	 Q0 	 IZV950705-00024      	 328     	 10.5132 	 BM25
143-AH 	 Q0 	 IZV950121-00033      	 329     	 10.5057 	 BM25
143-AH 	 Q0 	 IZV950419-00020      	 330     	 10.5043 	 BM25
143-AH 	 Q0 	 IZV950530-00017      	 331     	 10.5043 	 BM25
143-AH 	 Q0 	 IZV950121-00029      	 332     	 10.4988 	 BM25
143-AH 	 Q0 	 IZV950221-00025      	 333     	 10.4770 	 BM25
143-AH 	 Q0 	 IZV950224-00003      	 334     	 10.3843 	 BM25
143-AH 	 Q0 	 IZV950602-00016      	 335     	 10.3821 	 BM25
143-AH 	 Q0 	 IZV950218-00036      	 336     	 10.3819 	 BM25
143-AH 	 Q0 	 IZV950810-00010      	 337     	 10.3819 	 BM25
143-AH 	 Q0 	 IZV950829-00024      	 338     	 10.3753 	 BM25
143-AH 	 Q0 	 IZV950314-00002      	 339     	 10.3701 	 BM25
143-AH 	 Q0 	 IZV951125-00021      	 340     	 10.3490 	 BM25
143-AH 	 Q0 	 IZV950914-00000      	 341     	 10.2933 	 BM25
143-AH 	 Q0 	 IZV951005-00014      	 342     	 10.2933 	 BM25
143-AH 	 Q0 	 IZV950120-00041      	 343     	 10.2452 	 BM25
143-AH 	 Q0 	 IZV950418-00049      	 344     	 10.2452 	 BM25
143-AH 	 Q0 	 IZV950426-00049      	 345     	 10.2452 	 BM25
143-AH 	 Q0 	 IZV950511-00032      	 346     	 10.2452 	 BM25
143-AH 	 Q0 	 IZV950905-00054      	 347     	 10.2452 	 BM25
143-AH 	 Q0 	 IZV950922-00068      	 348     	 10.2452 	 BM25
143-AH 	 Q0 	 IZV951004-00080      	 349     	 10.2452 	 BM25
143-AH 	 Q0 	 IZV951210-00053      	 350     	 10.2452 	 BM25
143-AH 	 Q0 	 IZV950106-00058      	 351     	 10.2403 	 BM25
143-AH 	 Q0 	 IZV950124-00052      	 352     	 10.2403 	 BM25
143-AH 	 Q0 	 IZV950204-00066      	 353     	 10.2403 	 BM25
143-AH 	 Q0 	 IZV950204-00074      	 354     	 10.2403 	 BM25
143-AH 	 Q0 	 IZV950218-00049      	 355     	 10.2403 	 BM25
143-AH 	 Q0 	 IZV950301-00081      	 356     	 10.2403 	 BM25
